tower_id,lon,lat,radio,dist_water_m,hand_m,slope_deg,tri,flash_density,dist_power_m,age_years,exposed_pop,anonymous_operator,source_node,technologies_observed,measurement_count,session_count,first_observed,last_observed,median_signal_level,median_gps_accuracy_m,elevation_m,exposure_definition,flash_density_status,age_status,tower_source,terrain_source,hand_source,water_power_source,population_source
SUNWAY_OPERATOR_A_16161,101.5939899,3.05895633,LTE,266.4855344810989,2.048181534,5.173506655643543,13.930692243760252,,662.4313391769393,,6518.93,Operator A,16161,4G,29,3,2024.12.31_12.28.38,2025.02.14_12.35.29,-86.0,6.0,16.778948,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_16372,101.6123598,3.0789034899999996,LTE,471.65111160880423,1.173349023,0.8022271439367415,1.0523406782809896,,101.8735832937346,,8063.88,Operator A,16372,4G,11,3,2024.12.31_12.40.51,2025.03.06_12.00.35,-81.0,8.0,21.14985,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_22133,101.592066,3.057131570000001,NR,221.23621739074292,2.031802416,1.3118491620908863,2.5683958934516786,,391.00809626751675,,5654.13,Operator A,22133,4G|5G,248,4,2024.12.31_12.25.37,2025.03.06_11.48.20,-78.0,8.0,18.77991,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_26740,101.6052639,3.06070663,LTE,93.20529087476595,0.0,12.184848111866142,16.857678568409344,,780.6383981759959,,6232.0,Operator A,26740,4G,4,1,2025.03.20_13.44.58,2025.03.20_13.45.00,-99.0,6.0,-10.599059,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_28131,101.5920676,3.057131570000001,LTE,221.06614181820652,2.031802416,1.3118491620908863,2.5683958934516786,,391.05966840675205,,5654.13,Operator A,28131,4G,2,1,2024.12.31_12.27.41,2024.12.31_12.27.41,-80.5,8.0,18.77991,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_35372,101.5983979,3.06198269,NR,57.7700610438949,2.388100624,2.6515405686855593,3.0715873287727726,,871.0469559959896,,6541.7,Operator A,35372,4G|5G,121,6,2024.12.31_12.28.41,2025.03.20_13.53.59,-84.0,8.0,18.569994,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_36933,101.6124,3.0789034899999996,LTE,476.1168788329549,0.527772427,0.8022271439367415,1.0523406782809896,,100.24216197432669,,8063.88,Operator A,36933,4G,27,3,2024.12.31_12.40.52,2025.03.06_12.00.34,-82.0,11.0,21.14985,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_45721,101.6126098,3.0789034899999996,LTE,499.424119466452,0.527772427,0.5587904300951593,1.2885977504542556,,91.72792832216331,,8063.88,Operator A,45721,4G,7,1,2025.02.14_12.16.22,2025.02.14_12.16.35,-76.0,6.0,21.16818,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_54681,101.6069073,3.06641272,LTE,73.1529785767196,6e-05,4.047840382311593,14.765715596766444,,975.0102789401116,,6086.71,Operator A,54681,4G,5,2,2024.12.03_15.50.30,2025.01.16_12.34.04,-100.0,11.0,15.137374,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
SUNWAY_OPERATOR_A_55382,101.6040248,3.07295468,LTE,371.6450227161417,0.400332719,4.000828619160916,6.959998414323126,,242.78289088590017,,7099.31,Operator A,55382,4G,1,1,2025.01.07_10.25.00,2025.01.07_10.25.00,-88.0,4.0,19.25335,WorldPop 2025 total in 1 km square centered on site,not_used_coarser_than_aoi_and_login_required,unknown_not_imputed,10.17632/dx5xyyfz2y.1,cop-dem-glo-30/Copernicus_DSM_COG_10_N03_00_E101_00_DEM,ASF GLO-30 HAND v1,OpenStreetMap contributors / ODbL,WorldPop R2025A 2025 100m
