tower_id,anonymous_operator,source_node,lon,lat,radio,technologies_observed,measurement_count,session_count,first_observed,last_observed,median_signal_level,median_gps_accuracy_m
SUNWAY_OPERATOR_A_701905,Operator A,701905,101.6055148,3.07049259,NR,4G|5G,1655,19,2024.12.03_15.43.16,2025.04.02_13.41.33,-89.0,6.0
SUNWAY_OPERATOR_A_701911,Operator A,701911,101.6087852,3.06551172,NR,4G|5G,1273,11,2024.12.03_15.47.44,2025.03.20_13.38.20,-82.0,11.0
SUNWAY_OPERATOR_A_701934,Operator A,701934,101.5940968,3.05714478,NR,5G,13,2,2024.12.31_12.24.45,2025.02.14_12.31.40,-100.0,4.0
SUNWAY_OPERATOR_A_701997,Operator A,701997,101.5981089,3.06166221,NR,4G|5G,35,3,2024.12.10_12.44.00,2025.02.14_12.37.47,-99.0,6.0
SUNWAY_OPERATOR_A_702000,Operator A,702000,101.5986784,3.06399857,NR,4G|5G,40,2,2024.12.31_12.25.13,2025.02.14_12.32.03,-94.5,6.0
SUNWAY_OPERATOR_A_702010,Operator A,702010,101.5941521,3.057131570000001,NR,4G|5G,107,3,2024.12.31_12.24.56,2025.03.06_11.48.37,-89.0,6.0
SUNWAY_OPERATOR_A_702023,Operator A,702023,101.5966828,3.06167319,NR,4G|5G,568,5,2024.12.10_12.44.02,2025.03.06_11.51.17,-90.0,11.0
SUNWAY_OPERATOR_A_702044,Operator A,702044,101.598582,3.06234283,NR,4G|5G,55,3,2024.12.31_12.21.36,2025.03.06_11.51.41,-96.0,6.0
SUNWAY_OPERATOR_A_702063,Operator A,702063,101.6078638,3.06221024,NR,4G|5G,127,3,2024.12.10_12.14.24,2025.03.20_13.46.59,-95.0,6.0
SUNWAY_OPERATOR_A_702072,Operator A,702072,101.6016286,3.06529604,NR,4G|5G,1483,11,2024.12.04_11.12.28,2025.03.20_13.56.14,-86.0,6.0
SUNWAY_OPERATOR_A_702109,Operator A,702109,101.6083034,3.07346582,NR,4G|5G,212,4,2025.02.14_12.13.24,2025.03.20_13.28.36,-84.0,8.0
SUNWAY_OPERATOR_A_702175,Operator A,702175,101.5939926,3.05783385,NR,4G|5G,66,6,2024.12.10_12.43.13,2025.03.20_13.54.10,-97.0,7.0
SUNWAY_OPERATOR_A_86456,Operator A,86456,101.5940867,3.05859777,LTE,4G,8,2,2025.01.16_13.35.27,2025.02.14_12.35.25,-87.0,6.0
SUNWAY_OPERATOR_A_87496,Operator A,87496,101.6069073,3.06641272,LTE,4G,6,1,2024.12.03_15.51.37,2024.12.03_15.51.58,-95.0,11.0
SUNWAY_OPERATOR_A_95182,Operator A,95182,101.6084597,3.0734284,LTE,4G,8,1,2024.12.12_11.55.14,2024.12.12_11.55.58,-69.0,11.0
SUNWAY_OPERATOR_A_95192,Operator A,95192,101.6111588,3.0789034899999996,NR,4G|5G,21,2,2025.02.14_12.15.36,2025.03.06_12.00.23,-77.0,11.0
SUNWAY_OPERATOR_B_210038,Operator B,210038,101.6031208,3.07280105,LTE,4G,28,1,2025.02.20_12.51.14,2025.02.20_12.56.37,-84.0,6.0
SUNWAY_OPERATOR_B_210046,Operator B,210046,101.6120681,3.0789034899999996,LTE,4G,5,1,2025.02.14_11.12.00,2025.02.14_11.12.05,-81.0,11.0
SUNWAY_OPERATOR_B_210077,Operator B,210077,101.6132802,3.0746694,LTE,4G,3,1,2025.01.27_13.47.11,2025.01.27_13.47.24,-87.0,6.0
SUNWAY_OPERATOR_B_210082,Operator B,210082,101.602567,3.07267652,LTE,4G,16,2,2025.01.27_13.25.41,2025.02.20_12.53.20,-83.0,6.0
SUNWAY_OPERATOR_B_210083,Operator B,210083,101.6061114,3.06658046,NR,4G|5G,33,4,2024.12.11_12.47.14,2025.04.02_12.35.46,-96.0,11.0
SUNWAY_OPERATOR_B_210089,Operator B,210089,101.6088818,3.07303558,LTE,4G,13,2,2025.01.16_12.06.29,2025.01.27_13.42.19,-81.0,8.0
SUNWAY_OPERATOR_B_210135,Operator B,210135,101.601398,3.06523626,LTE,4G,10,2,2024.12.31_11.10.11,2025.02.20_12.35.23,-74.0,6.0
SUNWAY_OPERATOR_B_210297,Operator B,210297,101.5923148,3.057131570000001,LTE,4G,5,1,2024.12.31_11.07.00,2024.12.31_11.07.05,-86.0,6.0
SUNWAY_OPERATOR_B_211399,Operator B,211399,101.6045265,3.06621667,NR,4G|5G,16,5,2024.12.04_11.38.56,2025.04.02_12.36.08,-83.5,8.0
SUNWAY_OPERATOR_B_211467,Operator B,211467,101.5932434,3.057131570000001,LTE,4G,11,2,2024.12.31_11.07.06,2025.03.06_11.45.40,-87.0,8.0
SUNWAY_OPERATOR_B_211635,Operator B,211635,101.6107556,3.07149294,LTE,4G,2,1,2025.01.27_13.21.40,2025.01.27_13.21.41,-108.0,11.0
SUNWAY_OPERATOR_B_212644,Operator B,212644,101.6077843,3.07343843,LTE,4G,76,3,2024.12.11_13.06.14,2025.02.20_13.02.22,-79.5,6.0
SUNWAY_OPERATOR_B_212660,Operator B,212660,101.5987009,3.06389682,LTE,4G,42,3,2024.12.31_11.09.55,2025.03.06_11.43.18,-86.0,6.0
SUNWAY_OPERATOR_B_212677,Operator B,212677,101.5921331,3.057131570000001,NR,4G|5G,59,2,2024.12.31_11.04.26,2025.03.06_11.46.33,-78.0,8.0
SUNWAY_OPERATOR_B_212680,Operator B,212680,101.6120851,3.0789034899999996,LTE,4G,2,1,2025.02.14_11.12.06,2025.02.14_11.12.07,-81.0,9.5
SUNWAY_OPERATOR_B_215945,Operator B,215945,101.6002329,3.06259778,LTE,4G,149,2,2024.12.10_12.04.36,2025.01.27_14.04.26,-86.0,6.0
SUNWAY_OPERATOR_B_216175,Operator B,216175,101.6027379,3.06062655,LTE,4G,113,3,2024.12.10_12.04.18,2025.01.27_14.03.16,-88.0,6.0
SUNWAY_OPERATOR_B_216183,Operator B,216183,101.6106798,3.06594428,NR,5G,2,1,2025.03.06_12.06.42,2025.03.06_12.06.43,-97.0,8.0
SUNWAY_OPERATOR_B_216209,Operator B,216209,101.608667,3.07292011,LTE,4G,19,1,2024.12.11_13.05.02,2024.12.11_13.09.50,-85.0,11.0
SUNWAY_OPERATOR_B_216210,Operator B,216210,101.608667,3.07292011,LTE,4G,14,1,2024.12.11_13.10.14,2024.12.11_13.11.28,-91.0,11.0
SUNWAY_OPERATOR_B_701673,Operator B,701673,101.6121157,3.07427344,NR,4G|5G,25,1,2025.01.27_13.47.33,2025.01.27_13.48.48,-100.0,8.0
SUNWAY_OPERATOR_B_701684,Operator B,701684,101.6107273,3.07073902,NR,4G|5G,1255,9,2024.12.10_11.37.57,2025.03.20_14.05.21,-88.0,8.0
SUNWAY_OPERATOR_B_701688,Operator B,701688,101.6025813,3.06998171,NR,4G|5G,369,8,2024.12.04_12.29.51,2025.02.20_12.50.43,-90.0,6.0
SUNWAY_OPERATOR_B_701753,Operator B,701753,101.6106956,3.06652472,NR,4G|5G,104,3,2024.12.31_10.55.09,2025.02.14_11.20.26,-97.0,6.0
SUNWAY_OPERATOR_B_701775,Operator B,701775,101.6027111,3.07277511,NR,4G|5G,129,4,2024.12.12_11.40.39,2025.02.20_12.53.38,-87.0,6.0
SUNWAY_OPERATOR_B_701796,Operator B,701796,101.6047775,3.07315645,NR,4G|5G,263,4,2024.12.12_11.42.31,2025.02.20_12.57.09,-98.0,8.0
SUNWAY_OPERATOR_B_701806,Operator B,701806,101.6101976,3.07598075,NR,4G|5G,877,10,2024.12.10_11.40.05,2025.03.20_14.05.46,-87.0,6.0
SUNWAY_OPERATOR_B_701866,Operator B,701866,101.5980033,3.06161728,NR,5G,60,2,2024.12.31_11.09.37,2025.01.27_13.27.15,-108.0,6.0
SUNWAY_OPERATOR_B_701872,Operator B,701872,101.61202,3.0789034899999996,NR,5G,79,4,2024.12.31_10.50.23,2025.03.06_11.31.58,-94.0,11.0
SUNWAY_OPERATOR_B_701888,Operator B,701888,101.6107861,3.0789034899999996,NR,4G|5G,116,2,2024.12.31_10.50.47,2025.01.16_13.50.52,-92.0,6.0
SUNWAY_OPERATOR_B_701895,Operator B,701895,101.6123955,3.0789034899999996,NR,4G|5G,191,4,2024.12.31_10.49.40,2025.03.06_11.32.10,-94.0,8.0
SUNWAY_OPERATOR_B_701905,Operator B,701905,101.6055148,3.07049259,NR,4G|5G,2283,14,2024.12.04_11.40.33,2025.04.02_12.45.57,-90.0,6.0
SUNWAY_OPERATOR_B_701911,Operator B,701911,101.6087852,3.06551172,NR,4G|5G,1029,10,2024.12.04_11.29.48,2025.03.20_14.01.53,-85.0,8.0
SUNWAY_OPERATOR_B_701934,Operator B,701934,101.5940968,3.05714478,NR,4G|5G,34,3,2024.12.31_11.03.09,2025.02.14_11.27.51,-98.0,4.0
SUNWAY_OPERATOR_B_701949,Operator B,701949,101.5921127,3.057131570000001,NR,5G,15,2,2025.02.14_11.28.25,2025.03.06_11.46.03,-105.0,8.0
SUNWAY_OPERATOR_B_701971,Operator B,701971,101.5939934,3.05734076,NR,5G,5,1,2025.03.06_11.45.14,2025.03.06_11.45.17,-84.0,8.0
SUNWAY_OPERATOR_B_701997,Operator B,701997,101.5981089,3.06166221,NR,4G|5G,44,5,2024.12.31_11.00.19,2025.03.06_11.43.06,-104.0,7.0
SUNWAY_OPERATOR_B_702000,Operator B,702000,101.5986784,3.06399857,NR,4G|5G,23,4,2024.12.31_11.00.01,2025.03.06_11.45.42,-91.0,4.0
SUNWAY_OPERATOR_B_702008,Operator B,702008,101.5972035,3.07297591,NR,4G|5G,25,1,2025.01.27_13.25.45,2025.01.27_13.27.23,-110.0,6.0
SUNWAY_OPERATOR_B_702010,Operator B,702010,101.5941521,3.057131570000001,NR,4G|5G,290,4,2024.12.31_11.03.20,2025.03.06_11.45.36,-101.0,6.0
