cell_id,lon,lat,state,gsw_occurrence,gsw_seasonality,gsw_recurrence,label,hand_m,slope_deg,tri,elevation_m,dist_water_m,dist_power_m,label_source
0,100.2525593604191,5.351283567289157,Penang,0.0,0.0,0.0,0,99.59967041,22.787240816521894,38.823054176408355,367.9277038574219,1428.0886270682513,2165.914231089288,jrc-gsw-v1.3-occurrence
0,100.25766738185423,5.351323176100591,Penang,0.0,0.0,0.0,0,34.085968018,25.704914676798357,35.82804458631651,289.5241394042969,977.5252538531691,1849.3748577943206,jrc-gsw-v1.3-occurrence
0,100.26163066149064,5.352547180005486,Penang,0.0,0.0,0.0,0,51.44852829,20.257337100041134,26.780429504388255,302.19232177734375,871.5997713174067,1731.109426412175,jrc-gsw-v1.3-occurrence
0,100.26654556843884,5.353122613251937,Penang,0.0,0.0,0.0,0,182.268585205,33.805905956486406,47.6515945444611,261.8595275878906,951.1696641074299,1618.7389925603416,jrc-gsw-v1.3-occurrence
0,100.2726837227113,5.350994951530545,Penang,0.0,0.0,0.0,0,2.469255209,12.553727682430784,17.324089533453293,49.134552001953125,620.3850842461144,1247.1576347168814,jrc-gsw-v1.3-occurrence
0,100.27754972744,5.353598929708099,Penang,0.0,0.0,0.0,0,171.455474854,27.399246474709578,41.053215476281956,227.65814208984375,1073.8455738265789,1334.5402554244781,jrc-gsw-v1.3-occurrence
0,100.28113798133609,5.353203352307563,Penang,0.0,0.0,0.0,0,194.307846069,35.24189632270214,53.89024090712982,367.7608947753906,1049.9577086582497,1208.0164913029566,jrc-gsw-v1.3-occurrence
0,100.28787462097218,5.35176259687297,Penang,0.0,0.0,0.0,0,34.804992676,25.677588243292224,33.82983627224747,115.36341857910156,380.82221745945213,739.1942276254189,jrc-gsw-v1.3-occurrence
0,100.29391546753773,5.351571941118817,Penang,0.0,0.0,0.0,0,12.470171928,3.1903797200674338,4.079539390054239,24.594270706176758,272.4126996918753,226.84423663276462,jrc-gsw-v1.3-occurrence
0,100.29694894444535,5.351562674685434,Penang,0.0,0.0,0.0,0,3.476269722,6.391833794410882,8.220131039550791,13.632256507873535,321.6107614601252,179.0355891618059,jrc-gsw-v1.3-occurrence
0,100.25229359782486,5.356438597269164,Penang,0.0,0.0,0.0,0,217.128997803,25.023428421017705,37.41408676948754,366.573974609375,1798.4171266980945,2334.1434690889305,jrc-gsw-v1.3-occurrence
0,100.25624314559391,5.3585435336535685,Penang,0.0,0.0,0.0,0,21.174095154,18.318872595442695,27.69816083256943,403.54827880859375,1718.7112496310617,2585.362305607305,jrc-gsw-v1.3-occurrence
0,100.26224624919789,5.356548934055422,Penang,0.0,0.0,0.0,0,0.0,8.081925529073104,21.412004033026765,308.9340515136719,1291.7577969419208,2118.7050134202786,jrc-gsw-v1.3-occurrence
0,100.26712299006975,5.35814792017182,Penang,0.0,0.0,0.0,0,122.504119873,30.56033044526587,44.78529408556793,306.6078186035156,1204.0431685711449,1772.6882605678502,jrc-gsw-v1.3-occurrence
0,100.27342229618546,5.358767124524892,Penang,0.0,0.0,0.0,0,51.27822113,20.259799018926728,35.06001216870631,131.74256896972656,783.815439956747,1462.3178901408412,jrc-gsw-v1.3-occurrence
0,100.27685260913414,5.356755801862966,Penang,0.0,0.0,0.0,0,132.631347656,25.542589457443494,34.1062198582074,224.2744598388672,1006.1555353675152,1671.8127245080354,jrc-gsw-v1.3-occurrence
0,100.28315057267531,5.355938322259026,Penang,0.0,0.0,0.0,0,280.441436768,31.642436099161912,50.091423186604935,333.4598693847656,974.2405816215137,1374.7065329706243,jrc-gsw-v1.3-occurrence
0,100.28599941327657,5.358660301501569,Penang,0.0,0.0,0.0,0,0.0,11.660001418826738,16.939707318328278,97.93357849121094,778.9451062147489,1191.992160665572,jrc-gsw-v1.3-occurrence
0,100.29194324148511,5.358297449895763,Penang,0.0,0.0,0.0,0,4.027401924,3.940710855698906,7.709975567906708,23.19904899597168,300.36556123036445,561.5441787527657,jrc-gsw-v1.3-occurrence
