tower_id,evi_median,evi_p10,soil_moisture_mean,soil_moisture_p90,clay_pct,land_cover_class,gsw_occurrence_pct,gsw_recurrence_pct,land_cover_label
MY_W1315123577,0.49012693935119894,0.4321376635967039,0.2780855894088745,0.39138785004615784,24.0,10.0,0.0,0.0,Tree cover
MY_N9455370923,0.32169636378295574,0.2803607774274654,0.2780855894088745,0.39138785004615784,32.0,10.0,0.0,0.0,Tree cover
MY_N13326193730,0.33613064186890446,0.23289970625262277,0.2780855894088745,0.39138785004615784,31.0,10.0,0.0,0.0,Tree cover
MY_W1321815854,0.30352018018672583,0.23428389695748975,0.2787811756134033,0.3860846757888794,30.0,10.0,0.0,0.0,Tree cover
MY_N10722696333,0.5646284101599248,0.49950832210365304,0.2890506982803345,0.3898409903049469,29.0,10.0,0.0,0.0,Tree cover
MY_W1316153148,0.23527687177044015,0.1613020022448315,0.2890506982803345,0.3898409903049469,27.0,10.0,0.0,0.0,Tree cover
MY_W1316153129,0.19750391300766135,0.16282308606070536,0.2890506982803345,0.3898409903049469,27.0,10.0,0.0,0.0,Tree cover
MY_W1316153146,0.3285075901172213,0.25618480476399824,0.2890506982803345,0.3898409903049469,27.0,10.0,0.0,0.0,Tree cover
MY_W1317650252,0.17184074676472666,0.14300376325692782,0.3582778573036194,0.4228581488132477,30.0,10.0,0.0,0.0,Tree cover
MY_N4541585270,0.3356382064937296,0.2293636056718433,0.36461254954338074,0.43101274967193604,41.0,40.0,0.0,0.0,Cropland
MY_N10736133691,0.603272370012092,0.5105206634580963,0.33555930852890015,0.3824710547924042,28.0,10.0,0.0,0.0,Tree cover
MY_N11691138451,0.11584362455354558,0.08325314814040079,0.29175207018852234,0.35685065388679504,29.0,50.0,0.0,0.0,Built-up
MY_N11302586992,0.1144309950750581,0.07123775601068563,0.34467175602912903,0.3831678330898285,28.0,50.0,0.0,0.0,Built-up
MY_N13961444689,0.14068409459290973,0.10408146572877482,0.34467175602912903,0.3831678330898285,30.0,50.0,0.0,0.0,Built-up
MY_N6828231262,0.05984766050054412,0.029924120978946228,0.34666499495506287,0.386052668094635,26.0,50.0,0.0,0.0,Built-up
MY_N11302586991,0.27812393791775236,0.21212794313638383,0.34467175602912903,0.3831678330898285,37.0,50.0,0.0,0.0,Built-up
MY_N13961263910,0.14632750957179952,0.10794365257981164,0.34467175602912903,0.3831678330898285,27.0,50.0,0.0,0.0,Built-up
MY_N13979312124,0.44472583553969536,0.3573097523275459,0.4204028844833374,0.4869275689125061,42.0,40.0,0.0,100.0,Cropland
MY_N13967382742,0.1191497043823622,0.07866153621353074,0.34467175602912903,0.3831678330898285,37.0,50.0,0.0,0.0,Built-up
MY_N13967382741,0.14126394052044614,0.08941767661838602,0.34467175602912903,0.3831678330898285,26.0,50.0,0.0,0.0,Built-up
MY_N7016316628,0.4431620471858446,0.24378128105661778,0.34666499495506287,0.386052668094635,33.0,50.0,0.0,0.0,Built-up
MY_N7041239295,0.40968987128024964,0.2425194698729335,0.34666499495506287,0.386052668094635,36.0,10.0,0.0,0.0,Tree cover
MY_N1656847453,0.43055902553241576,0.35759925029817685,0.34666499495506287,0.386052668094635,28.0,50.0,0.0,0.0,Built-up
MY_N9134432003,0.29133378570175417,0.20678140251733879,0.34666499495506287,0.386052668094635,34.0,50.0,0.0,0.0,Built-up
MY_N6192657329,0.42114017843641316,0.34296516338104244,0.4204028844833374,0.4869275689125061,39.0,50.0,0.0,0.0,Built-up
MY_N9150548693,0.4496304375817115,0.2888173381757331,0.34666499495506287,0.386052668094635,35.0,50.0,0.0,0.0,Built-up
MY_N9116081582,0.2650038971161341,0.1707360226468507,0.34218278527259827,0.38654112815856934,28.0,50.0,0.0,0.0,Built-up
MY_N3341958144,0.1358641065298074,0.09427389505769651,0.42311203479766846,0.4886510968208313,48.0,40.0,0.0,0.0,Cropland
MY_N5242116831,0.20103723950532,0.09411382905358809,0.31454265117645264,0.3801792562007904,39.0,40.0,0.0,0.0,Cropland
MY_N6154919249,0.1477511559478773,0.12059603485288546,0.3074527978897095,0.3773558735847473,35.0,40.0,0.0,0.0,Cropland
MY_N3341958135,0.24244521337946942,0.1898267600442315,0.42816683650016785,0.4923616051673889,49.0,40.0,0.0,0.0,Cropland
MY_N10591046691,0.026403149586563417,0.010425975573428645,0.31454265117645264,0.3801792562007904,35.0,50.0,0.0,0.0,Built-up
MY_N7568527411,0.2563174389186118,0.16949876184783536,0.36837565898895264,0.4269009828567505,39.0,40.0,0.0,0.0,Cropland
MY_N4859059453,0.18769178848492166,0.12474857311509836,0.3074527978897095,0.3773558735847473,31.0,40.0,0.0,0.0,Cropland
MY_N8811444133,0.36367978881340646,0.2878799193488164,0.31454265117645264,0.3801792562007904,36.0,50.0,0.0,0.0,Built-up
MY_N7568524744,0.28631488815530565,0.23077895801719778,0.36837565898895264,0.4269009828567505,43.0,50.0,0.0,0.0,Built-up
MY_N6157011103,0.35751398880895285,0.2839913620991729,0.42816683650016785,0.4923616051673889,43.0,50.0,0.0,0.0,Built-up
MY_N6418052180,0.12076974120769744,0.09397880013113324,0.3963755965232849,0.4350162148475647,32.0,50.0,0.0,0.0,Built-up
MY_N9035698652,0.5547245360846822,0.5088089923469388,0.2728957533836365,0.3466845452785492,34.0,10.0,0.0,0.0,Tree cover
MY_N8356509387,0.34195811816245486,0.2725037287862297,0.38809236884117126,0.42540842294692993,22.0,10.0,0.0,0.0,Tree cover
MY_N6406328430,0.09731270543301324,0.044401006100336905,0.39634087681770325,0.43313494324684143,27.0,50.0,0.0,0.0,Built-up
MY_N4775194882,0.31496062992125984,0.14022378424903167,0.42311203479766846,0.4886510968208313,46.0,40.0,0.0,0.0,Cropland
MY_N4775194881,0.31390771478430257,0.19300211679741003,0.42311203479766846,0.4886510968208313,46.0,40.0,0.0,0.0,Cropland
MY_N7574291535,0.3003559235853854,0.23895526535148653,0.3016832768917084,0.3701949119567871,41.0,40.0,0.0,0.0,Cropland
MY_N6039478983,0.3337815391916476,0.27133835811774293,0.42816683650016785,0.4923616051673889,47.0,40.0,0.0,0.0,Cropland
MY_N13404129716,0.3713666193640628,0.304222391844734,0.3963755965232849,0.4350162148475647,42.0,50.0,0.0,0.0,Built-up
MY_W1085859464,0.12625440738396,0.058487604272802717,0.39634087681770325,0.43313494324684143,36.0,50.0,0.0,0.0,Built-up
MY_N3365342814,0.24953789279112754,0.1445364483217507,0.31454265117645264,0.3801792562007904,48.0,40.0,0.0,0.0,Cropland
MY_N9037393722,0.2801030968567429,0.23093348187346238,0.39634087681770325,0.43313494324684143,42.0,50.0,0.0,0.0,Built-up
MY_N2526527663,0.2787147917018048,0.20255683020784832,0.3016832768917084,0.3701949119567871,42.0,40.0,0.0,0.0,Cropland
MY_N2526527678,0.21354733405875953,0.15702786953891962,0.270782470703125,0.34259092807769775,38.0,50.0,0.0,0.0,Built-up
MY_W1311505864,0.30514620180061724,0.2229760960283417,0.38938117027282715,0.42713263630867004,32.0,10.0,0.0,0.0,Tree cover
MY_N4955138177,0.3420263289451758,0.2646441826690334,0.34081169962882996,0.3809986710548401,42.0,50.0,0.0,0.0,Built-up
MY_N5395408067,0.2466505896967628,0.18490213560905194,0.23175333440303802,0.29732322692871094,27.0,10.0,0.0,0.0,Tree cover
MY_W390112561,0.4699049830198275,0.3377610766407412,0.23175333440303802,0.29732322692871094,31.0,10.0,0.0,0.0,Tree cover
MY_N2888308600,0.32261611541168195,0.21406415802791606,0.270782470703125,0.34259092807769775,40.0,40.0,0.0,0.0,Cropland
MY_N4195769900,0.38821794411893673,0.3529411764705882,0.270782470703125,0.34259092807769775,34.0,10.0,0.0,0.0,Tree cover
MY_N4625586068,0.4189448795625831,0.3428194899558342,0.3765842020511627,0.42904531955718994,38.0,50.0,0.0,0.0,Built-up
MY_N4625586066,0.45599812923844407,0.3763521634615385,0.3765842020511627,0.42904531955718994,37.0,50.0,0.0,0.0,Built-up
MY_W1311793313,0.13085296615701342,0.09077243888839749,0.29873842000961304,0.37603938579559326,34.0,10.0,0.0,0.0,Tree cover
MY_N4625627407,0.23948113852602176,0.13535499615853935,0.3765842020511627,0.42904531955718994,42.0,40.0,0.0,0.0,Cropland
MY_W1311793315,0.2713127172251234,0.20182126217704363,0.29873842000961304,0.37603938579559326,37.0,10.0,0.0,0.0,Tree cover
MY_W1311793314,0.34701938285788875,0.2897874326445755,0.29873842000961304,0.37603938579559326,36.0,10.0,0.0,0.0,Tree cover
MY_N4567112599,0.2622150948546472,0.21962712558901862,0.3765842020511627,0.42904531955718994,39.0,50.0,0.0,0.0,Built-up
MY_N4625637084,0.15516566349198885,0.11996001332889039,0.3765842020511627,0.42904531955718994,39.0,10.0,0.0,0.0,Tree cover
MY_W1311840962,0.27186571359730144,0.22895440282028434,0.29873842000961304,0.37603938579559326,37.0,10.0,0.0,0.0,Tree cover
