tower_id,lon,lat,radio,dist_water_m,hand_m,slope_deg,tri,flash_density,dist_power_m,age_years,exposed_pop,elevation_m,state,osm_type,osm_id,operator,tower_source,terrain_source,hand_source,water_power_source
MY_N8157413021,101.7510688,3.1903358,UNKNOWN,276.04615062888996,218.582672119,0.5438454760504973,6.122678567906643,,779.9239083715779,,,294.8790283203125,Kuala Lumpur,node,8157413021,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_W1545410209,101.7519179,3.7171862,UNKNOWN,37.55307974717927,167.106689453,4.010638929778199,10.068149440881824,,1084.1367181424455,,,1314.0870361328125,Pahang,way,1545410209,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_W1545410197,101.7521245,3.7178117,UNKNOWN,81.93150766634491,288.177978516,4.641689666328103,17.30400581653286,,1106.8802688959724,,,1327.7958984375,Pahang,way,1545410197,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_W1545410199,101.7522389,3.7180882,UNKNOWN,111.44829287421187,180.930664062,6.644809988488022,22.975819461874657,,1120.8607486115964,,,1328.60595703125,Pahang,way,1545410199,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_W1259673925,101.753844,5.0273644,UNKNOWN,304.1624571271168,4.474340439,9.268585236903586,13.08099685442038,,20000.0,,,156.99240112304688,Kelantan,way,1259673925,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N9759198822,101.7556482,2.6853921,UNKNOWN,325.28891226990436,5.451307297,8.812938933971118,11.09276086259251,,3620.707007760905,,,17.378929138183594,Negeri Sembilan,node,9759198822,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N7838524117,101.7593622,3.3310777,UNKNOWN,194.3164581594293,91.479003906,1.7606966107203552,11.033242818266686,,398.8954273197111,,,392.7030944824219,Selangor,node,7838524117,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N13439298450,101.7685052,3.1131601,UNKNOWN,56.446930258332216,8.036990166,6.131482875187297,7.551560757054324,,141.90360069289355,,,89.87617492675781,Selangor,node,13439298450,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N12152835803,101.768578,2.9566706,UNKNOWN,151.00969836209913,50.909408569,9.212527983836782,15.31041103644225,,375.60418148288284,,,105.17073059082031,Selangor,node,12152835803,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
MY_N3902995338,101.7693507,2.8834128,UNKNOWN,42.50375442814846,0.0,5.825410997116754,6.656694797761215,,165.81030024295555,,,26.655946731567383,Selangor,node,3902995338,,OpenStreetMap contributors / ODbL,Copernicus DEM GLO-30 via Microsoft Planetary Computer,ASF Global 30m HAND v1,OpenStreetMap contributors / ODbL
