osm_type,osm_id,lon,lat,man_made,tower_type,operator,name,radio,mobile_phone,tags_json,tower_id
node,12334436706,114.0286132,4.5011493,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12334436706
node,11875484222,114.0290905,4.5607225,mast,communication,,MYY 5G DNB (DQMIR0719),NR,,"{""communication:5g"": ""yes"", ""man_made"": ""mast"", ""name"": ""MYY 5G DNB (DQMIR0719)"", ""tower:type"": ""communication""}",MY_N11875484222
node,12270341400,114.0291826,4.4626973,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12270341400
node,12132195205,114.0334242,4.4568652,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12132195205
node,12278677313,114.0344669,4.3175003,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12278677313
node,11991939583,114.0359058,4.5009869,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N11991939583
node,12258694524,114.0364562,4.4747763,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12258694524
node,12227903176,114.0366369,4.470016,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12227903176
node,12258461026,114.0373516,4.4647148,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12258461026
node,11463098096,114.038668,4.4512795,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N11463098096
node,11609644622,114.038765,4.4434854,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N11609644622
node,11875484225,114.0388866,4.4952623,mast,communication,,MYY 5G DNB (DQMIR0709),NR,,"{""communication:5g"": ""yes"", ""man_made"": ""mast"", ""name"": ""MYY 5G DNB (DQMIR0709)"", ""tower:type"": ""communication""}",MY_N11875484225
node,12258444889,114.0392387,4.4644412,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N12258444889
node,11787027806,114.0394298,4.4824153,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N11787027806
node,11463098097,114.0406173,4.4568293,tower,communication,,,UNKNOWN,,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",MY_N11463098097
node,11637810092,114.0425654,4.4748662,mast,communication,,,UNKNOWN,yes,"{""communication:mobile_phone"": ""yes"", ""man_made"": ""mast"", ""tower:type"": ""communication""}",MY_N11637810092
