lon,lat,label,hand_m,slope_deg,tri,elevation_m,dist_water_m,dist_power_m,state,label_source,cell_id
103.3411849340624,2.645338373695429,0,17.072347641,13.354860503284817,19.44693187000198,66.06501770019531,127.70328126387405,20000.0,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.57389189474927,2.3087983884711294,0,1.527794719,1.392048202369345,2.3157534265702373,5.832056045532227,728.1464464861698,6123.473694553703,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.38609170878026,2.619289360988938,0,35.885627747,16.9173538040764,25.143965391327967,130.826416015625,912.1477383307582,20000.0,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.61718927915577,2.610407900183483,0,0.30016914,0.5199355763695623,1.0168699350889507,3.3266866207122803,318.78067612068344,154.60297330663806,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.52888977378589,2.447844255296028,0,5.05518055,1.3531644370565235,4.715126436295185,27.574827194213867,80.31367276811591,19401.43965702111,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.40715345818542,2.6787703206001074,0,9.409502983,6.614060577599674,9.053823587069841,36.93388366699219,1352.886743591578,16429.610310064756,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.93565962459738,2.0097359757490825,0,24.063165665,3.616433560598887,8.718845488244387,62.40209197998047,1950.382809713949,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
104.069323927072,1.9624443306142878,0,2e-05,0.42780101483303795,0.8629958749011851,2.6064250469207764,198.38253421384186,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.61787472297267,2.340462000123555,0,23.476594925,7.820849545438497,10.84246136731048,34.16987228393555,130.17724375437956,6976.421164612486,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.65130982650565,2.408370013082394,0,9e-05,1.2321482025343935,3.807717330424636,3.7987077236175537,404.09595372074807,13372.394090521264,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.37946484583031,2.4171593699846374,0,67.972312927,14.095154722852774,18.68119207655437,146.92529296875,213.7950150919044,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.37605270032189,2.6112959347550784,0,92.570587158,15.285628024796303,17.546235698019782,329.6855163574219,349.99761536573226,20000.0,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.28545129660797,2.258458722384305,0,58.92440033,18.39556677017827,26.3691645110815,127.09234619140625,10051.01668340867,14982.25947897234,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.6014497834915,2.430372971029621,0,0.231554136,1.1934768309441548,1.701587601263627,11.946910858154297,1433.6085411904023,16916.484594134166,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.30704437279807,2.1083479851816582,0,4.811168671,9.115031732937346,9.203709524298956,21.76459503173828,14.216877250953605,510.439137590282,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.67299960037043,2.4541483468652996,0,0.0,4.41528330848758,7.437827109771511,20.156280517578125,3769.79840092751,13781.326587978121,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.93055204882069,1.9200871040611713,0,2e-05,2.726878613195188,3.694002104087475,13.845746994018555,504.4524641290734,18182.725819712246,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.9570374736262,1.9969053885993973,0,17.741233826,8.84813589916564,11.485763985206795,60.38349151611328,969.7836812236842,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.98754706085714,1.9246164294303985,0,11.360784531,7.496641838286274,9.114452184426305,31.470478057861328,3105.3125740617324,16657.87874469284,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.67170945384484,2.152010014059939,0,12.416627884,12.690938416903581,15.255119492722145,101.72579956054688,3025.428765702415,11071.829527709593,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
104.01435609049742,1.8418898987975183,0,3.171968222,4.134675668081937,5.035669349140902,10.234941482543945,3082.9039133124065,7382.308439724938,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.6003581981402,2.269162005763764,0,2.059160233,3.707672469504854,4.478139502770515,11.338830947875977,1329.5733713674786,1554.1701429760844,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
104.08072351754068,2.004568106917392,0,26.762584686,9.048806605279719,12.367593209673984,37.2121696472168,4332.6918545166545,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
104.03827026969931,1.8296488972529348,0,0.0,3.8025282850184636,12.407418496163444,32.983360290527344,3535.7058873592505,6866.11358814403,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.8955793884812,2.042870020944141,0,0.0,1.2361190323740003,1.4243820616751637,8.0983247756958,166.91949446331006,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.32136391475423,2.2736578883552236,0,17.707387924,8.601272925475099,11.14865840130321,49.3489990234375,5722.550809174695,13837.638605717062,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.70323918958893,2.346838101217268,0,18.307395935,0.8746598419434696,2.494833113551942,45.628929138183594,651.47935507656,8410.689532342149,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.27606893950605,2.494561264640622,0,17.675151825,13.860901759036064,16.823888440705915,373.1368408203125,3855.180717408295,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.71360003934052,2.3330104095950164,0,7.415381432,11.549470295041125,14.764249410383083,45.595130920410156,1066.3492254654852,7592.667902487541,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.39436329560246,2.0872835923427613,0,22.879076004,2.0374452192928487,4.808754453148479,73.06442260742188,1421.1379821709345,3666.3891075813153,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.69988103508635,2.4607089933163855,0,3e-05,1.4204561275367416,3.8246765639501406,13.879317283630371,4628.329889240977,10837.979086075236,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.44281741304478,2.0794985873662584,0,72.418640137,4.769724388162406,17.38082822072807,131.5811309814453,454.87424990430924,702.0245111476016,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.71619318707793,2.523946691301818,0,17.830581665,8.813473465121659,11.140652963427444,50.224430084228516,1754.0372820742678,4957.222132187804,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.67070614092016,2.50300453058079,0,8e-05,4.891318093453219,7.109489067399031,9.243677139282227,756.449839616704,9090.852168972386,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.89096944362376,2.0265662179098087,0,13.240265846,4.839264891296423,5.644828392100584,25.25247573852539,1439.1284670955613,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
104.03785819863744,2.000865258609328,0,2.52901268,4.263569806660069,5.379768406339749,22.399991989135742,1007.9868132866317,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.4945770529794,2.557868973771351,0,6e-05,6.424690101497773,8.539271882796976,31.50678253173828,2342.8702297980844,11137.356305382002,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.67245278345658,2.4537732325382717,0,0.686058104,3.0052736129261537,6.53213840210736,19.65567970275879,3802.618150816112,13839.941728320377,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
104.04662789220285,1.7390133729183612,0,28.896982193,15.909930438900936,19.483637597623208,60.64736557006836,1289.68505399654,5848.449377171249,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.65606381547838,2.082467818035778,0,15.064014435,5.651663131592485,10.66691407077056,67.80003356933594,1530.5197343201996,15473.949091497449,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.98042568406385,1.9663855106098265,0,27.816040039,9.500870720716142,12.878125045079516,60.02901077270508,1468.1734563611851,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.41976240692838,2.3843191954424876,0,58.64982605,20.79073293806437,29.017983949468046,139.23484802246094,425.6324868616819,19847.623761731382,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.30391738959958,2.3261074191811533,0,4e-05,2.322949190823827,4.538223888160264,59.16154098510742,3404.634603680776,19592.94912491784,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.67826015192405,2.389090507827089,0,12.335536957,5.610163459605337,7.428653554123564,23.776742935180664,2402.099804455686,11502.937865049502,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.48751120556429,2.400304192518954,0,10.674239159,0.09363950916240743,2.337904021662612,48.94548416137695,1296.0866303102687,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.85314639614643,1.8747863402594747,0,8.552053452,3.2167911638910724,3.827557948748106,26.548131942749023,1107.2166275086763,16739.55390092825,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.51783238154266,2.591804795478226,0,4e-05,0.9902956190692588,1.1037681142133005,10.400959014892578,400.0852269293367,6783.6788262190685,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
104.02018444447891,2.0601140803174958,0,7.134449959,3.0969219191686808,5.766991281081475,24.909719467163086,2598.6638417710706,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.91331417187939,1.9816804647890198,0,6e-05,4.101766019115204,6.1565229870629725,10.992643356323242,352.82417085399834,20000.0,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.70507286769589,2.5974493608883367,0,1.867571354,2.450089597955046,3.7156680580114445,12.614947319030762,2175.4552493307183,1820.4622963449792,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.67938502130869,2.2214683356046465,0,32.811161041,2.443853933653287,9.46560405684872,97.1519546508789,3618.396327524792,5157.336926679559,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.53388410781315,2.7549356778133234,0,7e-05,1.8390906646768133,3.049919103156503,3.949007511138916,850.1850185279721,9667.791154391523,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.53223006838692,2.6293311920190194,0,6.307321072,0.9330705407046034,1.583638411810764,11.231327056884766,314.01769480561256,3988.3414397373135,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.35355447841859,2.7603650993566107,0,0.0,5.169276901081742,9.427864594144216,18.219066619873047,2917.375002748357,11734.627193959375,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.32124312717896,2.6372039481678917,0,56.367958069,22.669068349015117,29.923730791487735,154.91314697265625,92.35209573554079,20000.0,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.40990758960803,2.217927622565235,0,0.0,4.487717841674846,7.63593933499512,28.433156967163086,2057.6800025530833,2875.1984821618644,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.6030196353168,2.5681602156517815,1,2.448876381,2.8128014640364505,4.755798024509873,0.9835590124130249,53.045605594422135,4690.878075658207,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.50624768376738,2.1690711342101165,0,9e-05,2.320250220004706,4.055097279102885,20.5628719329834,3.99622844301,2163.815090204006,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.34289081983312,2.6886262930194356,0,0.0,0.5735754705715647,0.8694140452881075,22.902379989624023,3749.3148140495905,18332.685164349663,Pahang,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
103.96879350971177,1.9227034006391923,0,28.902256012,4.985974858966789,9.003984427018153,46.2852783203125,2399.3648887881373,16867.446323283006,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
104.12020008974993,1.794286096705278,0,2.165076971,2.4544017661765642,2.910934806485074,6.958092212677002,520.785906447958,12627.645707927035,Johor,unosat-FL20191217MYS-sentinel1-2019-12-15,-1
