tower_id,evi_median_recent,evi_median_baseline,evi_delta_per_year,land_cover_changed,window_recent,window_baseline
MY_W1315123577,0.49012693935119894,0.48154132227826274,0.004292808536468101,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N9455370923,0.32169636378295574,0.31707548440101274,0.0023104396909714997,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N13326193730,0.33613064186890446,0.3660054947254981,-0.014937426428296818,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1321815854,0.30352018018672583,0.34149667863772265,-0.01898824922549841,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N10722696333,0.5646284101599248,0.46078873986031416,0.05191983514980533,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1316153148,0.23527687177044015,0.22036838802554348,0.007454241872448336,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1316153129,0.19750391300766135,0.19895742832319718,-0.000726757657767918,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1316153146,0.3285075901172213,0.3422871001693132,-0.006889755026045941,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1317650252,0.17184074676472666,0.2637834741084758,-0.04597136367187457,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4541585270,0.3356382064937296,0.39234021792161333,-0.028351005713941863,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N10736133691,0.603272370012092,0.5943997182488898,0.004436325881601089,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N11691138451,0.11584362455354558,0.12255217126035071,-0.003354273353402569,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N11302586992,0.1144309950750581,0.1360279828993393,-0.010798493912140592,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N13961444689,0.14068409459290973,0.1516169676606468,-0.005466436533868538,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N6828231262,0.05984766050054412,0.052278071589910546,0.0037847944553167853,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N11302586991,0.27971444014465463,0.22321962794164407,0.02824740610150528,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N13961263910,0.14632750957179952,0.15761757469003712,-0.005645032559118801,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N13979312124,0.44472583553969536,0.49564048362313606,-0.025457324041720353,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N13967382742,0.11987507029835295,0.14030352228382686,-0.010214225992736956,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N13967382741,0.1416021010921164,0.1049677403690519,0.01831718036153225,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N7016316628,0.4431620471858446,0.4184434303574698,0.01235930841418742,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N7041239295,0.40968987128024964,0.33484413019999515,0.037422870540127245,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N1656847453,0.43055902553241576,0.3653490697854771,0.03260497787346933,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N9134432003,0.29194575065427675,0.3271356154741601,-0.01759493240994167,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N6192657329,0.42114017843641316,0.3392518664655139,0.04094415598544962,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N9150548693,0.4496304375817115,0.3723127175873533,0.03865885999717911,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N9116081582,0.2650038971161341,0.14117835799943845,0.06191276955834782,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N3341958144,0.1358641065298074,0.11952682165448122,0.00816864243766309,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N5242116831,0.20103723950532,0.35817910915934753,-0.07857093482701377,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N6154919249,0.1477511559478773,0.15706046889947706,-0.004654656475799879,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N3341958135,0.24244521337946942,0.21266389510713146,0.01489065913616898,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N10591046691,0.026403149586563417,0.022351975184745927,0.002025587200908745,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N7568527411,0.2563174389186118,0.3022716736207696,-0.022977117351078907,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4859059453,0.18769178848492166,0.17026123196184784,0.00871527826153691,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8811444133,0.36367978881340646,0.440520847226877,-0.03842052920673528,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N7568524744,0.28631488815530565,0.35930093856923123,-0.03649302520696279,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N6157011103,0.35751398880895285,0.4159939067166185,-0.02923995895383283,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N6418052180,0.12055141525977844,0.19268360916976313,-0.03606609695499234,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N9035698652,0.5547245360846822,0.5814208702770678,-0.013348167096192798,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8356509387,0.34254098731146165,0.42591444513329196,-0.041686728910915155,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N6406328430,0.09731270543301324,0.07681874518047702,0.01024698012626811,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4775194882,0.31496062992125984,0.3828519027968822,-0.03394563643781118,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4775194881,0.31390771478430257,0.30404151120351586,0.004933101790393357,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N7574291535,0.3003559235853854,0.3850076559562743,-0.042325866185444455,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N6039478983,0.3337815391916476,0.37840984697272123,-0.022314153890536814,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N13404129716,0.3713666193640628,0.3529608535876604,0.009202882888201203,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1085859464,0.12625440738396,0.1117004178720668,0.007276994755946592,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N3365342814,0.24953789279112754,0.23950257158209878,0.005017660604514376,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N9037393722,0.2801030968567429,0.23105207385338195,0.024525511501680475,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N2526527663,0.2787147917018048,0.2511242347238716,0.013795278488966611,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N2526527678,0.21354733405875953,0.235288865077239,-0.010870765509239738,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1311505864,0.30514620180061724,0.28113382899628253,0.012006186402167357,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4955138177,0.3420263289451758,0.30411078665259494,0.018957771146290436,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N5395408067,0.2466505896967628,0.2897250751222138,-0.0215372427127255,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W390112561,0.4699049830198275,0.4875932273851902,-0.008844122182681324,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N2888308600,0.32261611541168195,0.2771434280585142,0.022736343676583864,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4195769900,0.38821794411893673,0.44570131061304546,-0.028741683247054367,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4625586068,0.4189448795625831,0.30992180213788656,0.05451153871234826,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4625586066,0.45599812923844407,0.4728801228679977,-0.008440996814776808,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1311793313,0.13085296615701342,0.14668984164523508,-0.007918437744110829,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4625627407,0.23948113852602176,0.15895278167367927,0.04026417842617125,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1311793315,0.2713127172251234,0.3331314734817955,-0.03090937812833605,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1311793314,0.34701938285788875,0.3566663126814994,-0.004823464911805325,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4567112599,0.2622150948546472,0.31938742029560774,-0.028586162720480257,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4625637084,0.15516566349198885,0.16774249326841867,-0.0062884148882149105,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1311840962,0.27186571359730144,0.26335615986840744,0.004254776864447002,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1311840972,0.1884557317035085,0.2017508043061157,-0.006647536301303603,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N3604853933,0.17008410930172724,0.17775520568816655,-0.0038355481932196567,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4955138206,0.25071168157281576,0.27062865809358416,-0.009958488260384202,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4760131971,0.25520632481399774,0.1523082203535267,0.05144905223023552,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4573203388,0.23239915121216745,0.20458749651569974,0.013905827348233854,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N5952916379,0.19561430371666802,0.23308229288910817,-0.018733994586220076,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4612165249,0.19831753195796686,0.20203494428050234,-0.001858706161267737,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8825706826,0.5648932136989764,0.5226940492744323,0.02109958221227204,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W879207161,0.430008910970036,0.3695871228484169,0.030210894060809568,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N5646827136,0.18808057109114473,0.4081503458800918,-0.11003488739447354,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4560309077,0.49661369478083983,0.48057933832268696,0.008017178229076438,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4758418627,0.3614063777596075,0.3768941221889779,-0.007743872214685199,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N5931380383,0.19090519090519092,0.17393825192056817,0.00848346949231138,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4560309078,0.1747750146551424,0.1447046267813422,0.015035193936900101,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N5931380384,0.3508771929824562,0.37037037037037035,-0.009746588693957087,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N14135289964,0.022789222038518256,0.03304178814382896,-0.005126283052655351,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12434275222,0.25355321806886943,0.2723718119612549,-0.009409296946192719,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12434275187,0.3753764198300633,0.3659627266460894,0.004706846591986946,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4952889109,0.34079646815028375,0.3602027983021538,-0.009703165075935022,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N7049747274,0.34472876151484144,0.3997752498109826,-0.027523244148070586,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4218038791,0.0780045631127829,0.13086669580330623,-0.02643106634526167,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N7003374699,0.2688529175261336,0.2695960413976721,-0.0003715619357692601,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12397225227,0.44034312640996465,0.429675735367935,0.005333695521014814,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12397225226,0.2407329202683675,0.2848547139654646,-0.022060896848548533,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12397225225,0.4311085001581636,0.4800738999648947,-0.024482699903365546,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12397225228,0.06821776957553391,0.08616522666660822,-0.008973728545537157,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12397225224,0.5050625847086023,0.4881923757539302,0.008435104477336058,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12397225229,0.10654905940207633,0.09700069084748003,0.0047741842772981505,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12432739231,0.19717986931101683,0.2036690326451301,-0.0032445816670566285,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12397225230,0.4131352841246282,0.3871773522064947,0.012978965959066752,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12397225231,0.1888379648430702,0.17715699072955512,0.0058404870567575345,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12397225232,0.07121902944191143,0.11115855715240965,-0.01996976385524911,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12432739232,0.4145283581101214,0.6217077607172781,-0.10358970130357834,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12397225233,0.03344560937425875,0.04572498898193038,-0.006139689803835814,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12432739233,0.32897995303544625,0.3190185820620603,0.004980685486692976,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N506433555,0.4544876956287849,0.47376208085354493,-0.009637192612380024,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12432739234,0.2640226195934587,0.2730879950206177,-0.0045326877135795085,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12717488852,0.2617533499886442,0.3215684035029066,-0.02990752675713121,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N6795232571,0.22750273246164435,0.2070195818121473,0.010241575324748523,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1312400607,0.36490381710806097,0.3689838794506744,-0.0020400311713067165,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1312400606,0.43796263658794493,0.45743686600018185,-0.00973711470611846,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1312400608,0.3056603773584906,0.3286624318362076,-0.011501027238858486,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1312840745,0.23445840519011246,0.21000587429018988,0.01222626544996129,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1312840761,0.3037847261426628,0.4212482730137127,-0.058731773435524964,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N5392512623,0.04566908487020366,0.04585424754037861,-9.258133508747643e-05,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N11399381206,0.2005751592702642,0.3642250056005058,-0.0818249231651208,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1274670480,0.37950060125910734,0.3975202005986167,-0.009009799669754681,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12441857996,0.2257123649873012,0.29434220043397896,-0.034314917723338875,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N3720185425,0.31743060893941155,0.36336547614120773,-0.02296743360089809,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N3234716501,0.26158072168810087,0.27285240061533483,-0.005635839463616982,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N7567968606,0.10290506854274943,0.11469799278512627,-0.0058964621211884186,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1165977860,0.1127879906879666,0.11651667948027025,-0.0018643443961518236,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8090717866,0.12036149996975651,0.11085188975063809,0.00475480510955921,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8091057340,0.2588969823100937,0.22070015220700154,0.019098415051546094,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N8091061663,0.4193465483344123,0.5015913943837879,-0.04112242302468777,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N7594127522,0.23590640978667182,0.21087120893892294,0.01251760042387444,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1254490022,0.3021464196651229,0.27902473373822734,0.011560842963447782,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1254490023,0.1656278537544828,0.16312025543963002,0.0012537991574263913,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1254490021,0.49518889527068644,0.5428604570235472,-0.0238357808764304,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12497506008,0.3178684150018693,0.334228644926988,-0.008180114962559354,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12968711538,0.6103277439024389,0.4872329338196978,0.06154740504137057,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N12458638891,0.4882330577991614,0.5357681290517111,-0.02376753562627487,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N4928415626,0.33561307773691074,0.36136911390840043,-0.012878018085744847,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N11766381937,0.2582504520795661,0.21612157457183784,0.02106443875386413,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N1727292934,0.24815183087631315,0.30090871540685665,-0.02637844226527175,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N3782301332,0.5201888091380353,0.494325662786147,0.012931573175944178,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_N6130994429,0.265888470421086,0.29450679806551694,-0.014309163822215476,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
MY_W1122921707,0.11201923076923075,0.16347092516899892,-0.025725847199884085,,2025-09-12/2026-09-12,2023-09-13/2024-09-12
